,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
22,-187.42714,-276.054,-280.84875,-301.80823,-258.25745,-310.99884,-311.61752,137.04834,223.4714,223.33861,266.2689,282.94,251.27133,326.29755,250.89978,235.66057,158.68309,253.25728,279.27255,215.60521,298.4933,239.07196,204.49901,193.20618,234.39612,327.85495,250.95117,313.43207,1493.8115,1335.9492,1136.596,973.0031,895.5489,892.4955,819.1845,1479.6505,1239.3854,1114.5193,1035.7859,895.72705,877.7334,810.155
23,-186.95972,-275.93005,-281.64307,-301.91852,-258.1865,-311.58356,-311.4564,137.20749,223.56499,223.57265,265.87527,280.99323,250.53935,324.6126,254.17265,237.53596,158.52995,252.67555,277.8989,214.81798,297.4779,242.37463,207.33252,196.06857,238.09183,332.43234,255.10336,319.14417,1493.3843,1335.8931,1137.3352,973.296,895.7001,892.9818,819.42975,1478.9901,1238.9647,1114.0148,1035.2546,895.58655,877.34534,810.0055
24,-186.49304,-275.76373,-282.3966,-302.01074,-258.09595,-312.09918,-311.2769,137.34848,223.65604,223.75627,265.3954,278.90405,249.65642,322.7066,257.385,239.4808,158.41232,252.04979,276.5102,213.97346,296.40546,245.63576,210.2449,198.90701,241.78441,337.0036,259.2836,324.86993,1492.8793,1335.7278,1138.0029,973.4946,895.7729,893.37317,819.58185,1478.2539,1238.4553,1113.4208,1034.6311,895.3887,876.8585,809.7692
25,-186.02669,-275.54578,-283.08307,-302.08185,-257.99365,-312.54456,-311.08682,137.46825,223.74644,223.87773,264.83145,276.70288,248.62624,320.5797,260.44025,241.44986,158.35193,251.39014,275.11386,213.07101,295.27057,248.7898,213.22314,201.73004,245.45927,341.53104,263.45013,330.55154,1492.3365,1335.4833,1138.6006,973.6017,895.76514,893.67523,819.6344,1477.479,1237.8726,1112.7534,1033.9346,895.1391,876.29315,809.4435
26,-185.56422,-275.27344,-283.67267,-302.13046,-257.8888,-312.9223,-310.8969,137.57031,223.82884,223.91829,264.1815,274.42258,247.45259,318.24594,263.23285,243.37065,158.36578,250.71407,273.72446,212.1193,294.07068,251.76816,216.23611,204.5473,249.09624,345.9781,267.56302,336.13034,1491.8029,1335.1974,1139.1278,973.6236,895.67474,893.8971,819.5815,1476.7062,1237.2344,1112.0326,1033.1864,894.8434,875.6741,809.0283
27,-185.11548,-274.9546,-284.13684,-302.15402,-257.7865,-313.23474,-310.71704,137.6639,223.88965,223.85815,263.43985,272.08484,246.14043,315.73203,265.66376,245.15028,158.46329,250.04305,272.36267,211.13547,292.80704,254.50986,219.23865,207.36829,252.67654,350.3146,271.58652,341.55127,1491.3269,1334.912,1139.5841,973.5697,895.501,894.0502,819.41974,1475.9734,1236.5599,1111.2805,1032.4069,894.5039,875.02655,808.5285
28,-184.69627,-274.60965,-284.45416,-302.1455,-257.68262,-313.47974,-310.55154,137.76147,223.91397,223.68335,262.5984,269.6866,244.69865,313.07086,267.6571,246.68854,158.64453,249.39873,271.0517,210.14265,291.48584,256.97205,222.17955,210.2041,256.19333,354.52295,275.49176,346.7707,1490.9531,1334.6694,1139.9724,973.4525,895.2482,894.14856,819.15295,1475.3096,1235.8674,1110.5187,1031.6128,894.1168,874.3735,807.9544
29,-184.3249,-274.27054,-284.61597,-302.09058,-257.56073,-313.64865,-310.39514,137.87526,223.88986,223.39133,261.6484,267.19257,243.1438,310.29187,269.17627,247.89565,158.89963,248.79958,269.81207,209.1665,290.1202,259.13812,225.01248,213.07123,259.66144,358.6023,279.25937,351.76657,1490.716,1334.5107,1140.3032,973.2887,894.9297,894.2104,818.7969,1474.7297,1235.1715,1109.7653,1030.8169,893.671,873.7316,807.32117
30,-184.01633,-273.9753,-284.63025,-301.9676,-257.3931,-313.72766,-310.2295,138.0137,223.81108,222.99301,260.583,264.53943,241.50272,307.4116,270.235,248.71188,159.20879,248.25845,268.65704,208.2321,288.73218,261.022,227.70747,215.9946,263.12158,362.56943,282.88196,356.54822,1490.6334,1334.4708,1140.5973,973.1013,894.5704,894.2588,818.3822,1474.2335,1234.4823,1109.0326,1030.0276,893.14923,873.10986,806.6446
31,-183.77591,-273.7597,-284.52234,-301.75134,-257.145,-313.70166,-310.0223,138.17905,223.67703,222.5103,259.39902,261.65176,239.81242,304.42865,270.90088,249.1243,159.54312,247.781,267.5898,207.36154,287.35388,262.66724,230.26117,219.00797,266.63556,366.45508,286.3663,361.1598,1490.7029,1334.5742,1140.8844,972.9194,894.2075,894.3206,817.9531,1473.8053,1233.8025,1108.325,1029.2498,892.5306,872.50745,805.93585
32,-183.59535,-273.64716,-284.33276,-301.41968,-256.78217,-313.55988,-309.72934,138.36682,223.49054,221.96965,258.0983,258.4658,238.11548,301.32483,271.28842,249.1765,159.86679,247.36522,266.6035,206.5724,286.02667,264.14093,232.70288,222.14957,270.27283,370.29636,289.73428,365.67474,1490.8986,1334.8276,1141.1978,972.7756,893.88654,894.42267,817.56146,1473.4166,1233.1265,1107.6377,1028.4839,891.7949,871.9137,805.1961
33,-183.45282,-273.64072,-284.11194,-300.96082,-256.27847,-313.29962,-309.30017,138.56712,223.25485,221.39404,256.68817,254.95204,236.45131,298.0728,271.54297,248.96812,160.14142,247.00232,265.6838,205.877,284.7975,265.5232,235.09406,225.45389,274.0916,374.12817,293.0222,370.1803,1491.1741,1335.2141,1141.5653,972.7008,893.6533,894.58545,817.25653,1473.0306,1232.4397,1106.9578,1027.7251,890.92725,871.30896,804.4135
34,-183.31778,-273.71948,-283.9131,-300.378,-255.62137,-312.92792,-308.68628,138.7672,222.97147,220.7964,255.18024,251.12918,234.84561,294.64804,271.81747,248.6422,160.3325,246.67905,264.81342,205.28204,283.71265,266.89362,237.51993,228.94157,278.12155,377.97562,296.2777,374.75604,1491.4684,1335.6902,1142.001,972.7167,893.54474,894.8165,817.07495,1472.6077,1231.7197,1106.2651,1026.9617,889.92053,870.66656,803.565
